Data,Previsao
01-17-2024,80.09416721015357
01-18-2024,79.91011430690826
01-19-2024,79.97110727173738
01-20-2024,79.77296682470444
01-21-2024,79.81676764428802
01-22-2024,79.71888184855993
01-23-2024,79.75085904928825
01-24-2024,79.70484087770102
01-25-2024,79.73229153253773
01-26-2024,79.7098938815045
01-27-2024,79.72838388238898
01-28-2024,79.71668899645582
01-29-2024,79.72776277037453
01-30-2024,79.72089940288379
01-31-2024,79.7271556315929
02-01-2024,79.72295794011579
02-02-2024,79.72642353279646
02-03-2024,79.72387052352478
02-04-2024,79.72581672388473
02-05-2024,79.7242976208569
02-06-2024,79.725414643953
02-07-2024,79.72452890101664
02-08-2024,79.72518024264505
02-09-2024,79.72466911234699
02-10-2024,79.72505110990859
02-11-2024,79.72475661864556
02-12-2024,79.72498030658748
02-13-2024,79.72481009528437
02-14-2024,79.7249405531361
02-15-2024,79.7248417838497
